lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
119.3075,-2.4816,0,0,0,0->0,0,0,0,0
119.312,-2.4816,0,0,0,0->0,0,0,0,0
119.3794,-2.4816,1,1,0,1->1,0,0,0,0
119.4063,-2.4816,0,0,0,0->0,0,0,0,0
119.4333,-2.4771,0,1,1,0->1,1,0,0,0
119.4872,-2.4771,1,2,1,1->2,0,0,1,0
119.4512,-2.4681,1,1,0,1->1,0,0,0,0
119.4872,-2.4681,1,1,0,1->1,0,0,0,0
119.4378,-2.4546,1,1,0,1->1,0,0,0,0
119.4917,-2.4546,1,1,0,1->1,0,0,0,0
119.4288,-2.4412,1,0,1,1->0,0,1,0,0
119.4557,-2.4412,0,0,0,0->0,0,0,0,0
119.4333,-2.4367,1,1,0,1->1,0,0,0,0
119.4378,-2.4367,1,1,0,1->1,0,0,0,0
119.4647,-2.4367,1,0,1,1->0,0,1,0,0
119.4692,-2.4322,1,1,0,1->1,0,0,0,0
119.4782,-2.4322,0,0,0,0->0,0,0,0,0
119.4333,-2.4277,0,0,0,0->0,0,0,0,0
119.4512,-2.4232,0,0,0,0->0,0,0,0,0
119.4647,-2.3963,0,0,0,0->0,0,0,0,0
